data_date,trx_channel,trx_type,trans_id
7/11/2025,USSD,Cash out,4
7/11/2025,USSD,Merchant Payment,4
7/11/2025,USSD_API,Transfer(C2C),4
7/11/2025,USSD,Cash in,3
7/11/2025,QR Payment,Merchant Payment,2
7/11/2025,BISP,IBFT Outgoing Customer,1
7/11/2025,Business App,IBFT Outgoing OTC,1
7/11/2025,Business App API,Merchant Payment,1
7/11/2025,NEW_JC_APP,Utility Bills Payment,1
7/11/2025,Self Care App,Utility Bills Payment,1
7/11/2025,USSD_API,Transfer(B2C),1
7/12/2025,Payment Gateway,Online Payment,125
7/12/2025,NEW_JC_APP,Transfer(C2C),69
7/12/2025,THIRD_PARTY_WEB,Get Loan,35
7/12/2025,NEW_JC_APP,Transfer(C2B),16
7/12/2025,NEW_JC_APP,IBFT Outgoing Customer,11
7/12/2025,QR Payment,Merchant Payment,10
7/12/2025,Self Care App,Utility Bills Payment,3
7/12/2025,USSD,Cash in,3
7/12/2025,USSD,Cash out,2
7/12/2025,USSD_API,Transfer(C2C),2
7/12/2025,BISP,IBFT Outgoing Customer,1
7/12/2025,NEW_JC_APP,Merchant Payment,1
7/12/2025,USSD_API,IBFT Outgoing Customer,1
7/12/2025,USSD_API,Transfer(C2B),1
7/13/2025,Payment Gateway,Online Payment,115
7/13/2025,NEW_JC_APP,Transfer(C2C),79
7/13/2025,THIRD_PARTY_WEB,Get Loan,31
7/13/2025,NEW_JC_APP,Transfer(C2B),8
7/13/2025,NEW_JC_APP,Utility Bills Payment,5
7/13/2025,USSD_API,IBFT Outgoing Customer,4
7/13/2025,QR Payment,Merchant Payment,3
7/13/2025,USSD_API,Transfer(C2B),2
7/13/2025,NEW_JC_APP,IBFT Outgoing Customer,1
7/13/2025,USSD,Cash in,1
7/13/2025,USSD,Cash out,1
7/14/2025,Payment Gateway,Online Payment,104
7/14/2025,NEW_JC_APP,Transfer(C2C),51
7/14/2025,THIRD_PARTY_WEB,Get Loan,29
7/14/2025,NEW_JC_APP,Transfer(C2B),11
7/14/2025,Self Care App,Utility Bills Payment,6
7/14/2025,USSD_API,IBFT Outgoing Customer,5
7/14/2025,USSD,Merchant Payment,3
7/14/2025,Business App,Transfer(B2C),2
7/14/2025,NEW_JC_APP,IBFT Outgoing Customer,1
7/14/2025,NEW_JC_APP,Merchant Payment,1
7/14/2025,QR Payment,Merchant Payment,1
7/14/2025,USSD,Cash in,1
7/14/2025,USSD,Cash out,1
7/14/2025,USSD_API,Transfer(C2C),1
7/15/2025,Payment Gateway,Online Payment,74
7/15/2025,NEW_JC_APP,Transfer(C2C),50
7/15/2025,THIRD_PARTY_WEB,Get Loan,27
7/15/2025,NEW_JC_APP,Transfer(C2B),26
7/15/2025,Self Care App,Utility Bills Payment,8
7/15/2025,QR Payment,Merchant Payment,6
7/15/2025,USSD_API,Transfer(C2C),5
7/15/2025,NEW_JC_APP,IBFT Outgoing Customer,3
7/15/2025,USSD_API,IBFT Outgoing Customer,2
7/15/2025,USSD_API,Transfer(C2B),2
7/15/2025,NEW_JC_APP,Jazz Load (Prepaid top-up),1
7/15/2025,NEW_JC_APP,Merchant Payment,1
7/16/2025,Payment Gateway,Online Payment,59
7/16/2025,NEW_JC_APP,Transfer(C2C),45
7/16/2025,THIRD_PARTY_WEB,Get Loan,28
7/16/2025,NEW_JC_APP,Transfer(C2B),18
7/16/2025,NEW_JC_APP,IBFT Outgoing Customer,7
7/16/2025,USSD_API,IBFT Outgoing Customer,4
7/16/2025,USSD_API,Transfer(C2C),4
7/16/2025,QR Payment,Merchant Payment,3
7/16/2025,Business App,Transfer(B2C),2
7/16/2025,USSD_API,Transfer(C2B),2
7/16/2025,NEW_JC_APP,Utility Bills Payment,1
7/16/2025,USSD,Cash in,1
7/16/2025,USSD,Merchant Payment,1
7/17/2025,Payment Gateway,Online Payment,87
7/17/2025,NEW_JC_APP,Transfer(C2C),38
7/17/2025,THIRD_PARTY_WEB,Get Loan,24
7/17/2025,NEW_JC_APP,Transfer(C2B),18
7/17/2025,Self Care App,Utility Bills Payment,11
7/17/2025,NEW_JC_APP,IBFT Outgoing Customer,3
7/17/2025,QR Payment,Merchant Payment,3
7/17/2025,USSD_API,Transfer(C2C),3
7/17/2025,NEW_JC_APP,Utility Bills Payment,2
7/17/2025,BISP,IBFT Outgoing Customer,1
7/17/2025,USSD,Cash out,1
7/17/2025,USSD,Utility Bills Payment,1
7/17/2025,USSD_API,IBFT Outgoing Customer,1
7/17/2025,USSD_API,Transfer(C2B),1
7/18/2025,Payment Gateway,Online Payment,52
7/18/2025,NEW_JC_APP,Transfer(C2B),36
7/18/2025,NEW_JC_APP,Transfer(C2C),31
7/18/2025,THIRD_PARTY_WEB,Get Loan,18
7/18/2025,NEW_JC_APP,IBFT Outgoing Customer,5
7/18/2025,Self Care App,Utility Bills Payment,5
7/18/2025,QR Payment,Merchant Payment,4
7/18/2025,USSD,Utility Bills Payment,3
7/18/2025,NEW_JC_APP,Utility Bills Payment,2
7/18/2025,USSD_API,Transfer(C2C),2
7/18/2025,API,Transfer(C2C),1
7/18/2025,NEW_JC_APP,Jazz Load (Prepaid top-up),1
7/18/2025,USSD,Jazz Load (Prepaid top-up),1
7/18/2025,USSD_API,IBFT Outgoing Customer,1
7/18/2025,USSD_API,Transfer(C2B),1
7/19/2025,Payment Gateway,Online Payment,111
7/19/2025,NEW_JC_APP,Transfer(C2C),53
7/19/2025,THIRD_PARTY_WEB,Get Loan,29
7/19/2025,NEW_JC_APP,Transfer(C2B),14
7/19/2025,NEW_JC_APP,IBFT Outgoing Customer,8
7/19/2025,Self Care App,Utility Bills Payment,7
7/19/2025,USSD_API,Transfer(C2C),6
7/19/2025,USSD,Cash in,4
7/19/2025,USSD,Merchant Payment,3
7/19/2025,Payment Gateway,Transfer(C2B),2
7/19/2025,QR Payment,Merchant Payment,2
7/19/2025,USSD_API,IBFT Outgoing Customer,1
7/19/2025,USSD_API,Transfer(B2C),1
7/19/2025,USSD_API,Transfer(C2B),1
7/20/2025,Payment Gateway,Online Payment,142
7/20/2025,NEW_JC_APP,Transfer(C2C),54
7/20/2025,THIRD_PARTY_WEB,Get Loan,39
7/20/2025,NEW_JC_APP,Transfer(C2B),12
7/20/2025,USSD_API,Transfer(C2C),6
7/20/2025,NEW_JC_APP,IBFT Outgoing Customer,5
7/20/2025,NEW_JC_APP,Utility Bills Payment,4
7/20/2025,QR Payment,Merchant Payment,2
7/20/2025,USSD_API,IBFT Outgoing Customer,2
7/20/2025,BISP,IBFT Outgoing Customer,1
7/20/2025,Business App API,Merchant Payment,1
7/20/2025,USSD,Cash in,1
7/20/2025,USSD,Merchant Payment,1
7/21/2025,Payment Gateway,Online Payment,96
7/21/2025,NEW_JC_APP,Transfer(C2C),53
7/21/2025,THIRD_PARTY_WEB,Get Loan,23
7/21/2025,NEW_JC_APP,Transfer(C2B),21
7/21/2025,Self Care App,Utility Bills Payment,16
7/21/2025,NEW_JC_APP,IBFT Outgoing Customer,7
7/21/2025,USSD_API,IBFT Outgoing Customer,3
7/21/2025,NEW_JC_APP,Utility Bills Payment,2
7/21/2025,QR Payment,Merchant Payment,2
7/21/2025,USSD,Cash in,2
7/21/2025,USSD_API,Transfer(C2B),2
7/21/2025,USSD_API,Transfer(C2C),2
7/21/2025,Business App,Transfer(B2C),1
7/21/2025,USSD,Utility Bills Payment,1
7/22/2025,Payment Gateway,Online Payment,116
7/22/2025,NEW_JC_APP,Transfer(C2C),49
7/22/2025,THIRD_PARTY_WEB,Get Loan,30
7/22/2025,NEW_JC_APP,Transfer(C2B),16
7/22/2025,Self Care App,Utility Bills Payment,15
7/22/2025,NEW_JC_APP,IBFT Outgoing Customer,4
7/22/2025,QR Payment,Merchant Payment,2
7/22/2025,USSD_API,IBFT Outgoing Customer,2
7/22/2025,Business App,IBFT Outgoing OTC,1
7/22/2025,Business App,Transfer(B2C),1
7/22/2025,USSD,Merchant Payment,1
7/22/2025,USSD_API,Transfer(C2B),1
7/23/2025,Payment Gateway,Online Payment,124
7/23/2025,NEW_JC_APP,Transfer(C2C),51
7/23/2025,THIRD_PARTY_WEB,Get Loan,28
7/23/2025,NEW_JC_APP,Transfer(C2B),13
7/23/2025,Self Care App,Utility Bills Payment,6
7/23/2025,NEW_JC_APP,IBFT Outgoing Customer,5
7/23/2025,Business App,Transfer(B2C),3
7/23/2025,QR Payment,Merchant Payment,2
7/23/2025,USSD_API,IBFT Outgoing Customer,2
7/23/2025,API,Transfer(C2C),1
7/23/2025,NEW_JC_APP,Merchant Payment,1
7/23/2025,USSD,Merchant Payment,1
7/23/2025,USSD_API,Transfer(C2C),1
7/24/2025,Payment Gateway,Online Payment,75
7/24/2025,NEW_JC_APP,Transfer(C2C),45
7/24/2025,THIRD_PARTY_WEB,Get Loan,20
7/24/2025,NEW_JC_APP,Transfer(C2B),15
7/24/2025,NEW_JC_APP,IBFT Outgoing Customer,7
7/24/2025,Self Care App,Utility Bills Payment,7
7/24/2025,NEW_JC_APP,Utility Bills Payment,5
7/24/2025,USSD_API,IBFT Outgoing Customer,4
7/24/2025,BISP,IBFT Outgoing Customer,2
7/24/2025,USSD_API,Transfer(C2C),2
7/24/2025,Business App,IBFT Outgoing OTC,1
7/24/2025,QR Payment,Merchant Payment,1
7/24/2025,USSD_API,Transfer(C2B),1
7/25/2025,Payment Gateway,Online Payment,60
7/25/2025,NEW_JC_APP,Transfer(C2C),26
7/25/2025,NEW_JC_APP,Transfer(C2B),17
7/25/2025,THIRD_PARTY_WEB,Get Loan,12
7/25/2025,USSD_API,IBFT Outgoing Customer,5
7/25/2025,NEW_JC_APP,IBFT Outgoing Customer,4
7/25/2025,USSD_API,Transfer(C2C),3
7/25/2025,ATM,MFS Card Withdraw,2
7/25/2025,Self Care App,Utility Bills Payment,2
7/25/2025,USSD,Utility Bills Payment,1
7/25/2025,USSD_API,Transfer(C2B),1
7/26/2025,Payment Gateway,Online Payment,121
7/26/2025,NEW_JC_APP,Transfer(C2C),57
7/26/2025,THIRD_PARTY_WEB,Get Loan,30
7/26/2025,NEW_JC_APP,Transfer(C2B),26
7/26/2025,Self Care App,Utility Bills Payment,10
7/26/2025,USSD_API,Transfer(C2C),6
7/26/2025,NEW_JC_APP,IBFT Outgoing Customer,3
7/26/2025,NEW_JC_APP,Utility Bills Payment,3
7/26/2025,USSD_API,IBFT Outgoing Customer,3
7/26/2025,NEW_JC_APP,Merchant Payment,2
7/26/2025,BIO,Cash in,1
7/26/2025,Mobile App,Jazz Load (Prepaid top-up),1
7/26/2025,QR Payment,Merchant Payment,1
7/27/2025,Payment Gateway,Online Payment,130
7/27/2025,NEW_JC_APP,Transfer(C2C),46
7/27/2025,THIRD_PARTY_WEB,Get Loan,24
7/27/2025,NEW_JC_APP,Transfer(C2B),10
7/27/2025,NEW_JC_APP,IBFT Outgoing Customer,6
7/27/2025,USSD_API,Transfer(C2C),6
7/27/2025,Self Care App,Utility Bills Payment,4
7/27/2025,NEW_JC_APP,Utility Bills Payment,3
7/27/2025,QR Payment,Merchant Payment,3
7/27/2025,USSD_API,Transfer(C2B),2
7/27/2025,API,PTS Purchase Payment,1
7/27/2025,Business App,Transfer(B2C),1
7/27/2025,USSD,Merchant Payment,1
7/27/2025,USSD_API,IBFT Outgoing Customer,1
7/28/2025,Payment Gateway,Online Payment,102
7/28/2025,NEW_JC_APP,Transfer(C2C),38
7/28/2025,THIRD_PARTY_WEB,Get Loan,23
7/28/2025,Self Care App,Utility Bills Payment,5
7/28/2025,NEW_JC_APP,IBFT Outgoing Customer,4
7/28/2025,NEW_JC_APP,Transfer(C2B),4
7/28/2025,USSD,Merchant Payment,3
7/28/2025,USSD_API,Transfer(C2C),3
7/28/2025,BISP,IBFT Outgoing Customer,2
7/28/2025,QR Payment,Merchant Payment,2
7/28/2025,Business App,IBFT Outgoing OTC,1
7/28/2025,NEW_JC_APP,Utility Bills Payment,1
7/29/2025,NEW_JC_APP,Transfer(C2C),23
7/29/2025,Payment Gateway,Online Payment,21
7/29/2025,THIRD_PARTY_WEB,Get Loan,12
7/29/2025,NEW_JC_APP,Transfer(C2B),11
7/29/2025,Self Care App,Utility Bills Payment,8
7/29/2025,NEW_JC_APP,IBFT Outgoing Customer,4
7/29/2025,BISP,IBFT Outgoing Customer,2
7/29/2025,QR Payment,Merchant Payment,2
7/30/2025,Payment Gateway,Online Payment,32
7/30/2025,NEW_JC_APP,Transfer(C2C),19
7/30/2025,THIRD_PARTY_WEB,Get Loan,6
7/30/2025,Self Care App,Utility Bills Payment,5
7/30/2025,NEW_JC_APP,Transfer(C2B),2
7/30/2025,Business App,Transfer(B2C),1
7/30/2025,NEW_JC_APP,IBFT Outgoing Customer,1
7/30/2025,USSD_API,Transfer(C2C),1
