ac_from,ac_to,fraud_flag,trx_channel,trx_type,start_balance,trx_amt,mbar_region,mbar_city,mbar_registered_channel,mbar_registered_date_time,mbar_a_c_status,mbar_a_c_level,mbar_agent_group,mbar_limit_group,mbar_charge_profile,mbar_credit_dl_ml_yl,mbar_debit_dl_ml_yl,mbar_year_of_birth,mbar_last_modified_date_time,mbar_dormant_date,mbar_re_active_date,mbar_place_of_birth,mbar_account_type_name,hour_of_day,day_of_week,is_weekend,is_night,is_business_hours,is_unusual_hour,night_weekend_combo,start_balance_log,balance_change,balance_change_pct,txn_txns_3d,txn_total_amount_3d,txn_avg_amount_3d,txn_max_amount_3d,txn_min_amount_3d,txn_unique_recipients_3d,txn_unique_channels_3d,txn_unique_types_3d,txn_is_high_activity_3d,txn_multi_channel_recent,txn_amount_deviation_from_avg,txn_night_txns_3d,txn_weekend_txns_3d,user_total_txns_3d,user_total_amount_3d,user_avg_amount_3d,user_median_amount_3d,user_max_amount_3d,user_min_amount_3d,user_unique_recipients_3d,user_unique_channels_3d,user_unique_types_3d,user_total_txns_7d,user_total_amount_7d,user_avg_amount_7d,user_median_amount_7d,user_max_amount_7d,user_min_amount_7d,user_unique_recipients_7d,user_unique_channels_7d,user_unique_types_7d,user_most_used_channel_7d,user_last_used_channel,user_channel_diversity_score_7d,user_most_used_type_7d,user_last_used_type,user_type_diversity_score_7d,user_night_txns_7d,user_weekend_txns_7d,user_peak_hour_txns_7d,user_off_peak_hour_txns_7d,user_avg_start_balance_7d,user_avg_end_balance_7d,user_min_balance_7d,user_max_balance_7d,user_balance_volatility_7d,user_avg_amount_per_recipient_7d,user_max_amount_to_single_recipient_7d,user_recipient_concentration_ratio_7d,user_avg_time_between_txns_7d,user_txn_frequency_score_7d,user_days_since_last_txn,ac_from_id,ac_to_id,trx_channel_id,trx_type_id,mbar_region_id,mbar_city_id,mbar_registered_channel_id,mbar_a_c_status_id,mbar_a_c_level_id,mbar_agent_group_id,mbar_account_type_name_id,txn_unique_channels_3d_id,txn_unique_types_3d_id,user_unique_channels_3d_id,user_unique_types_3d_id,user_unique_channels_7d_id,user_unique_types_7d_id,user_most_used_channel_7d_id,user_last_used_channel_id,user_most_used_type_7d_id,user_last_used_type_id,isolation_forest_prediction,isolation_forest_probability,isolation_forest_score,best_model_used,sampling_strategy_used,_c112,min_distance_to_fraud,cluster_id,cluster_fraud_rate
zSNXVZS99+95aECNFX13OA==,/QRlt6LP/rXls1Tn2L9dSA==,0,NEW_JC_APP,IBFT Outgoing Customer,505.32,500.0,,,API,2025-04-12T10:39:50.000+05:00,Active,Level 1,Product for Minor Accounts,Rule Profile for L1 Standard OMNO Customer,OMNO L1 for App and USSD,0,0,0,2025-04-14T13:40:21.000+05:00,1/1/1970,1/1/1970,NAROWAL NAROWAL,Customer Account,11,5,0,0,1,0,0,6.225191892,-502.13,-0.99,38,116028.0,3053.368421,25000.0,1.0,17,4,4,1,1,-0.836246423,9,0,38,550015.52,14474.09263,1000.59,57640.44,0.0,17,4,4,38,550015.52,14474.09263,1000.59,57640.44,0.0,17,4,4,NEW_JC_APP,Payment Gateway,0.974772957,IBFT Outgoing Customer,Online Payment,0.974566474,0,0,27,11,14474.09263,11943.53421,0.0,57640.44,19367.4442,14865.28432,57640.44,0.468085106,2.065217391,11.75,0,22739,485,14,14,,,0,0,1,33,1,4,4,4,4,4,4,12,17,13,23,0,0.438256202,0.248242196,Isolation Forest,Original (No Sampling),#REF!,0.0,0,0.0056
nkgi7+F5A1/YVqV2IpWxog==,/QRlt6LP/rXls1Tn2L9dSA==,0,NEW_JC_APP,IBFT Outgoing Customer,0.0,5900.0,,,BIO,2022-09-20T14:18:47.000+05:00,Suspended,Level 1,Product for Standard OMNO L1 Customer,Rule Profile for L1 Standard OMNO Customer,OMNO L1 for App and USSD,0,0,1995,2025-09-24T11:40:19.000+05:00,1/1/1970,1/1/1970,PIND DADAN KHAN JHELUM,Customer Account,14,4,0,0,1,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,,0.0,0.0,0.0,0,0,0,0,0.0,,0.0,0.0,0.0,0,0,0,NEW_JC_APP,NEW_JC_APP,0.0,IBFT Outgoing Customer,IBFT Outgoing Customer,0.0,0,0,0,0,,,0.0,0.0,,,0.0,1.0,0.0,2.0,0,18564,485,14,14,,,1,5,1,44,1,0,0,0,0,0,0,12,15,13,16,0,0.438038985,0.249124567,Isolation Forest,Original (No Sampling),#REF!,0.0,0,0.0056
CWxfl7I3VmKtMBxMEu3RZg==,/QRlt6LP/rXls1Tn2L9dSA==,0,NEW_JC_APP,IBFT Outgoing Customer,13209.9,12200.0,,,API,2024-04-01T12:18:45.000+05:00,Suspended,Level 1,Product for Minor Accounts,Rule Profile for L1 Register Customer,Charge Profile for L1 Register Customer,0,0,0,2025-07-27T00:56:57.000+05:00,1/1/1970,1/1/1970,GOJRA TOBA TEK SINGH,Customer Account,13,1,0,0,1,0,0,9.488721827,-12215.7,-0.92,3,12282.0,4094.0,6200.0,2.0,1,1,1,0,0,1.979970689,1,3,3,12423.3,4141.1,6204.55,6213.1,5.65,1,1,1,3,12423.3,4141.1,6204.55,6213.1,5.65,1,1,1,NEW_JC_APP,NEW_JC_APP,0.0,IBFT Outgoing Customer,Transfer(C2C),0.837837838,0,3,0,3,4141.1,45.55,2.1,6213.1,2924.206822,4141.1,6213.1,0.857142857,6.333333333,3.5,0,5209,485,14,14,,,0,5,1,33,1,1,1,1,1,1,1,12,15,13,35,0,0.436339477,0.256031603,Isolation Forest,Original (No Sampling),#REF!,0.0,0,0.0056
74C9V20FKehPQGG6IO3aXg==,/QRlt6LP/rXls1Tn2L9dSA==,0,NEW_JC_APP,IBFT Outgoing Customer,295.54,2.0,,,BIO,2025-03-11T10:45:31.000+05:00,Suspended,Level 1,Product for Asaan Digital Account,Rule Profile for Asaan DigitalCustomer,OMNO L1 for App and USSD,0,0,2006,2025-07-10T08:12:22.000+05:00,1/1/1970,1/1/1970,BANDA DAUD SHAH KARAK,Customer Account,19,3,0,0,0,0,0,5.688804191,-3.55,-0.01,30,103661.0,3455.366667,14500.0,1.0,13,1,3,1,0,-0.99942119,1,11,30,543937.1,18131.23667,5440.69,158871.97,0.46,13,1,3,44,609937.64,13862.21909,5416.92,158871.97,0.46,19,1,4,NEW_JC_APP,NEW_JC_APP,0.0,IBFT Outgoing Customer,IBFT Outgoing Customer,0.974569319,0,15,33,11,13862.21909,10535.08886,0.46,158872.97,33094.6668,13862.21909,158871.97,0.632653061,3.291666667,7.0,0,3291,485,14,14,,,1,5,1,2,1,1,3,1,3,1,4,12,15,13,16,0,0.435946718,0.257628691,Isolation Forest,Original (No Sampling),#REF!,0.0,0,0.0056
74C9V20FKehPQGG6IO3aXg==,/QRlt6LP/rXls1Tn2L9dSA==,0,NEW_JC_APP,IBFT Outgoing Customer,5239.86,5000.0,,,BIO,2025-03-11T10:45:31.000+05:00,Suspended,Level 1,Product for Asaan Digital Account,Rule Profile for Asaan DigitalCustomer,OMNO L1 for App and USSD,0,0,2006,2025-07-10T08:12:22.000+05:00,1/1/1970,1/1/1970,BANDA DAUD SHAH KARAK,Customer Account,12,2,0,0,1,0,0,8.56405006,-5007.35,-0.95,24,76562.0,3190.083333,10000.0,1.0,12,1,2,1,0,0.567357175,0,15,24,388579.62,16190.8175,5456.27,158871.97,0.46,12,1,2,37,450788.03,12183.46027,5453.72,158871.97,0.46,18,1,3,NEW_JC_APP,NEW_JC_APP,0.0,IBFT Outgoing Customer,IBFT Outgoing Customer,0.974407583,0,15,27,10,12183.46027,9083.577297,0.46,158872.97,31437.12195,12183.46027,158871.97,0.574468085,3.413043478,6.714285714,0,3291,485,14,14,,,1,5,1,2,1,1,2,1,2,1,3,12,15,13,16,0,0.434672331,0.262813025,Isolation Forest,Original (No Sampling),#REF!,0.0,0,0.0056
wcZtgrlcErakayEGdcrktA==,/d3gEBGlyOwSvnL68U5/rg==,0,NEW_JC_APP,Transfer(C2C),2136.95,2500.0,,,API,2025-02-16T19:34:01.000+05:00,Active,Level 1,Product for Minor Accounts,Rule Profile for L1 Register Customer,Charge Profile for L1 Register Customer,0,0,0,2025-02-18T10:16:07.000+05:00,1/1/1970,1/1/1970,LAHORE CANTT LAHORE,Customer Account,23,4,0,1,0,0,0,7.667134858,2500.0,1.16,10,23549.0,2354.9,3500.0,600.0,1,1,1,0,0,0.061616205,0,0,10,3911.9,391.19,156.95,1256.95,0.05,1,1,1,15,10862.15,724.1433333,463.5,2800.05,0.05,1,1,1,NEW_JC_APP,NEW_JC_APP,0.0,Transfer(C2C),Transfer(C2C),0.0,0,2,10,5,724.1433333,3027.41,0.05,6900.05,827.4367536,724.1433333,2800.05,1.0,9.5,2.428571429,0,21721,561,14,31,,,0,0,1,33,1,1,1,1,1,1,1,12,15,29,35,0,0.439098316,0.244822297,Isolation Forest,Original (No Sampling),#REF!,0.0,0,0.0056
m01SyoymhSBHxz0H6j1P3A==,/QRlt6LP/rXls1Tn2L9dSA==,0,USSD_API,IBFT Outgoing Customer,0.0,15000.0,,,BIO,2025-04-27T14:29:24.000+05:00,Suspended,Level 1,Product for L1 Registered Customer,Rule Profile for L1 Register Customer,Charge Profile for L1 Register Customer,0,0,2004,2025-08-20T23:58:02.000+05:00,1/1/1970,1/1/1970,PESHAWAR,Customer Account,22,4,0,1,0,0,0,0.0,0.0,0.0,21,268070.0,12765.2381,18800.0,20.0,9,2,4,1,1,0.175066214,0,0,21,283090.83,13480.51571,15024.27,45663.24,0.0,9,2,4,36,415862.21,11551.72806,11945.2,45663.24,0.0,11,2,5,USSD_API,USSD_API,0.976523197,IBFT Outgoing Customer,IBFT Outgoing Customer,0.970504282,1,15,30,6,11551.72806,10256.23444,0.0,45663.24,8998.24985,11551.72806,45663.24,0.659574468,2.804347826,7.833333333,0,17960,485,22,14,,,1,5,1,15,1,2,4,2,4,2,5,19,23,13,16,0,0.442899329,0.229403466,Isolation Forest,Original (No Sampling),#REF!,0.0,0,0.0056
zXzvjLQ/9vKJriosEw6FUw==,/QRlt6LP/rXls1Tn2L9dSA==,1,USSD_API,IBFT Outgoing Customer,20068.92,15000.0,,,BIO,2024-09-25T21:07:59.000+05:00,Suspended,Level 1,Product for L1 Registered Customer,Rule Profile for L1 Register Customer,Charge Profile for L1 Register Customer,0,0,1995,2025-07-19T09:31:44.000+05:00,1/1/1970,1/1/1970,JHADO MEER PUR KHAS,Customer Account,23,5,0,1,0,0,0,9.906927629,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,,0.0,0.0,0.0,0,0,0,0,0.0,,0.0,0.0,0.0,0,0,0,USSD_API,USSD_API,0.0,IBFT Outgoing Customer,IBFT Outgoing Customer,0.8,0,0,0,0,,,0.0,0.0,,,0.0,0.666666667,0.2,6.0,0,22775,485,22,14,,,1,5,1,15,1,0,0,0,0,0,0,19,23,13,16,0,0.438672904,0.246549753,Isolation Forest,Original (No Sampling),#REF!,0.0,0,0.0056
74C9V20FKehPQGG6IO3aXg==,/QRlt6LP/rXls1Tn2L9dSA==,0,NEW_JC_APP,IBFT Outgoing Customer,14405.5,10000.0,,,BIO,2025-03-11T10:45:31.000+05:00,Suspended,Level 1,Product for Asaan Digital Account,Rule Profile for Asaan DigitalCustomer,OMNO L1 for App and USSD,0,0,2006,2025-07-10T08:12:22.000+05:00,1/1/1970,1/1/1970,BANDA DAUD SHAH KARAK,Customer Account,20,3,0,0,0,0,0,9.575365357,-10013.15,-0.69,20,52807.0,2640.35,16000.0,1.0,10,1,4,1,0,2.787376674,2,8,20,218236.48,10911.824,4853.63,129445.38,0.27,10,1,4,55,608983.56,11072.42836,5332.33,129445.38,0.0,24,1,4,NEW_JC_APP,NEW_JC_APP,0.0,IBFT Outgoing Customer,Transfer(C2C),0.982474774,0,18,36,19,11072.42836,7540.728364,0.0,129446.38,23550.80874,11072.42836,129445.38,0.507692308,2.40625,9.285714286,0,3291,485,14,14,,,1,5,1,2,1,1,4,1,4,1,4,12,15,13,35,0,0.437760367,0.250256499,Isolation Forest,Original (No Sampling),#REF!,0.0,0,0.0056
otDjGxgmj3Pst9qHypqo1g==,/QRlt6LP/rXls1Tn2L9dSA==,0,NEW_JC_APP,IBFT Outgoing Customer,3477.98,3400.0,,,NEW_JC_APP,2022-01-10T16:15:51.000+05:00,Active,Level 1,Product for L1 Registered Customer,Rule Profile for L1 Register Customer,Charge Profile for L1 Register Customer,0,0,1999,2022-08-15T19:05:11.000+05:00,1/1/1970,1/1/1970,LAHORE LAHORE,Customer Account,18,4,0,0,0,0,0,8.154206944,-3405.49,-0.97,14,15362.0,1097.285714,5500.0,2.0,7,3,5,1,1,2.098554876,7,0,14,79059.96,5647.14,4135.43,32410.55,0.0,7,3,5,27,155128.47,5745.498889,4011.52,32410.55,0.0,9,3,5,NEW_JC_APP,NEW_JC_APP,0.960591133,IBFT Outgoing Customer,IBFT Outgoing Customer,0.952908587,3,10,13,14,5745.498889,4277.513704,0.0,32410.55,7293.761625,6071.673043,32410.55,0.515151515,4.6875,4.714285714,0,18968,485,14,14,,,3,0,1,15,1,3,5,3,5,3,5,12,15,13,16,0,0.437054429,0.253125207,Isolation Forest,Original (No Sampling),#REF!,0.011703147566075925,0,0.0056
GvQYwZq2vXVBCILFEJlIpQ==,/QRlt6LP/rXls1Tn2L9dSA==,0,NEW_JC_APP,IBFT Outgoing Customer,1500.0,1490.0,,,API,2025-05-28T11:02:37.000+05:00,Suspended,Level 1,Product for Minor Accounts,Rule Profile for L1 Standard OMNO Customer,OMNO L1 for App and USSD,0,0,0,2025-08-10T21:46:00.000+05:00,1/1/1970,1/1/1970,LAHORE,Customer Account,18,6,1,0,0,0,0,7.313220386,-1491.55,-0.99,1,2000.0,2000.0,2000.0,2000.0,1,1,1,0,0,-0.255,0,0,1,2000.0,2000.0,2000.0,2000.0,2000.0,1,1,1,14,60870.0,4347.857143,3925.0,16720.0,450.0,5,2,2,Payment Gateway,NEW_JC_APP,0.942583732,Online Payment,IBFT Outgoing Customer,0.931428571,9,13,0,14,4347.857143,689.2857143,0.0,16720.0,3858.943561,4347.857143,16720.0,0.285714286,8.1,3.0,0,6761,485,14,14,,,0,5,1,33,1,1,1,1,1,2,2,14,15,20,16,0,0.434130433,0.265018578,Isolation Forest,Original (No Sampling),#REF!,0.0,0,0.0056
